drug_name,SMILES,phase2_score,signed_score,net_positive,n_papers,models,confidence,final_score
(r)-ketoprofen,C[C@@H](C(=O)O)c1cccc(C(=O)c2ccccc2)c1,0.1,0.0,0.0,0.0,,0.0,0.054
piroxicam,Nc1nc(Cl)nc2c1ncn2C1CC(O)C(CO)O1,0.1,0.0,0.0,0.0,,0.0,0.054
acetaminophen (p-acetamidophenol),CC(=O)Nc1ccc(O)cc1,0.05,0.0,0.0,0.0,,0.0,0.027
(+)-physostigmine,CNC(=O)Oc1ccc2c(c1)[C@@]1(C)CCN(C)[C@H]1N2C,0.0,0.0,0.0,3.0,animal,0.075,0.02
-,CN(C)Cc1ccc(SCCNc2[nH]cc(Cc3ccccc3)c2[N+](=O)[O-])o1,0.0,0.0,0.0,3.0,animal,0.075,0.02
-,CC(F)OC(=O)c1ncn2c1CN(C)C(=O)c1cc(F)ccc1-2,0.0,0.0,0.0,3.0,animal,0.075,0.02
-,O=C(O)c1cc[nH]c1NCCSCc1ncccc1Br,0.0,0.0,0.0,3.0,animal,0.075,0.02
-,Cc1nc2cc(CNC3CCCNC3c3ccccc3)c(OC(C)C)cc2s1,0.0,0.0,0.0,3.0,animal,0.075,0.02
-,COc1cc2c(cc1CNC1C3CCN(C3)C1C(c1ccccc1)c1ccccc1)N(S(C)(=O)=O)CC2,0.0,0.0,0.0,3.0,animal,0.075,0.02
-,CN1CCN(CCCN2c3ccccc3Sc3cccc(C(F)(F)F)c32)CC1,0.0,0.0,0.0,3.0,animal,0.075,0.02
-,CCCN(CCC)CCc1cc(O)c2c(c1)CC(=O)N2,0.0,0.0,0.0,3.0,animal,0.075,0.02
reboxetine,CCOc1ccccc1O[C@H](c1ccccc1)[C@H]1CNCCO1,0.025,0.0,0.0,0.0,,0.0,0.0135
tetrabenazine (tetrabenzine),COc1cc2c(cc1OC)C1CC(=O)C(CC(C)C)CN1CC2,0.025,0.0,0.0,0.0,,0.0,0.0135
rescinnamine,COC(=O)[C@H]1[C@H]2C[C@@H]3c4[nH]c5cc(OC)ccc5c4CCN3C[C@H]2C[C@@H](OC(=O)/C=C/c2cc(OC)c(OC)c(OC)c2)[C@@H]1OC,0.025,0.0,0.0,0.0,,0.0,0.0135
reserpine,COC(=O)[C@H]1[C@H]2C[C@@H]3c4[nH]c5cc(OC)ccc5c4CCN3C[C@H]2C[C@@H](OC(=O)c2cc(OC)c(OC)c(OC)c2)[C@@H]1OC,0.025,0.0,0.0,0.0,,0.0,0.0135
varenicline,c1cnc2cc3c(cc2n1)C1CNCC3C1,0.025,0.0,0.0,0.0,,0.0,0.0135
mazindol,OC1(c2ccc(Cl)cc2)c2ccccc2C2=NCCN21,0.025,0.0,0.0,0.0,,0.0,0.0135
testosterone,CC12CCC(=O)C=C1CCC1C2CCC2(C)C(O)CCC12,0.025,0.0,0.0,0.0,,0.0,0.0135
deserpidine,COC(=O)[C@H]1[C@H]2C[C@@H]3c4[nH]c5ccccc5c4CCN3C[C@H]2C[C@@H](OC(=O)c2cc(OC)c(OC)c(OC)c2)[C@@H]1OC,0.025,0.0,0.0,0.0,,0.0,0.0135
dothiepin,CN(C)CC/C=C1/c2ccccc2CSc2ccccc21,0.025,0.0,0.0,0.0,,0.0,0.0135
felbamate,NC(=O)OCC(COC(N)=O)c1ccccc1,0.025,0.0,0.0,0.0,,0.0,0.0135
fludrocortisone acetate,CC(=O)OCC(=O)[C@@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@@]3(F)[C@@H](O)C[C@@]21C,0.025,0.0,0.0,0.0,,0.0,0.0135
rivastigmine,CCN(C)C(=O)Oc1cccc([C@H](C)N(C)C)c1,0.025,0.0,0.0,0.0,,0.0,0.0135
selegiline,C#CCN(C)[C@H](C)Cc1ccccc1,0.025,0.0,0.0,0.0,,0.0,0.0135
practolol,CC(=O)Nc1ccc(OC[C@@H](O)CNC(C)C)cc1,0.025,0.0,0.0,0.0,,0.0,0.0135
lovastatin,CC[C@H](C)C(=O)O[C@H]1C[C@@H](C)C=C2C=C[C@H](C)[C@H](CC[C@@H]3C[C@@H](O)CC(=O)O3)[C@H]21,0.025,0.0,0.0,0.0,,0.0,0.0135
"(3s,11bs)-tetrabenazine",COc1cc2c(cc1OC)[C@@H]1CC(=O)[C@@H](CC(C)C)CN1CC2,0.025,0.0,0.0,0.0,,0.0,0.0135
amphetamine,CC[C@H](NC(=O)[C@@H](C)SCc1ccccc1)c1ccc(S(C)(=O)=O)cc1,0.025,0.0,0.0,0.0,,0.0,0.0135
disulfiram,COC[C@]1(C(=O)O)[C@@H](S(C)(=O)=O)[C@@H]1c1ccc(OC)cc1,0.025,0.0,0.0,0.0,,0.0,0.0135
rescinnamine,COc1ccc(C(=O)c2coc3ccc(O)c(CN4CCN(C)CC4)c23)cc1,0.025,0.0,0.0,0.0,,0.0,0.0135
methylphenidate,COc1ccc([C@H]2[C@@H](S(=O)(=O)c3ccc(C)cc3)[C@]2(C#N)C=O)cc1,0.025,0.0,0.0,0.0,,0.0,0.0135
pentostatin,COc1ccc([C@H]2[C@@H](S(=O)(=O)c3ccc(Cl)cc3)C2(CN)CN)cc1,0.025,0.0,0.0,0.0,,0.0,0.0135
nicotine,CS(=O)(=O)[C@@H]1[C@H](C(N)=S)[C@@H]1c1ccccc1,0.025,0.0,0.0,0.0,,0.0,0.0135
reserpine,Cc1ccc(CS(=O)(=O)N[C@H](c2ccccn2)C2CC(O)C2)cc1,0.025,0.0,0.0,0.0,,0.0,0.0135
pindolol,O=C(C[C@H]1C[C@H]2CC[C@@H]1C2)NC[C@@H](O)c1ccccc1,0.025,0.0,0.0,0.0,,0.0,0.0135
moclobemide,O=C(Cc1csc(-n2cccc2)n1)N1CCCC[C@H]1c1cccnc1,0.025,0.0,0.0,0.0,,0.0,0.0135
selegiline,C#CCN(C)C(C)Cc1ccccc1,0.025,0.0,0.0,0.0,,0.0,0.0135
fludrocortisone acetate,CC(=O)OCC(=O)C1(O)CCC2C3CCC4=CC(=O)CCC4(C)C3(F)C(O)CC21C,0.025,0.0,0.0,0.0,,0.0,0.0135
estradiol,CCCNC(=O)c1ccc2c(c1)N(C(C)CN1CCCC1)c1ccccc1S2,0.025,0.0,0.0,0.0,,0.0,0.0135
reboxetine,CCOc1ccccc1OC(c1ccccc1)C1CNCCO1,0.025,0.0,0.0,0.0,,0.0,0.0135
dothiepin,CN(C)CCC=C1c2ccccc2CSc2ccccc21,0.025,0.0,0.0,0.0,,0.0,0.0135
reserpine,COc1ccc2c3c([nH]c2c1)C1CC2C(CC(OC(=O)c4cc(OC)c(OC)c(OC)c4)C(OC)C2OC(C)=O)CN1CC3,0.025,0.0,0.0,0.0,,0.0,0.0135
fludrocortisone acetate,CC(=O)OCC(=O)[C@@]1(O)CCC2C3CCC4=CC(=O)CC[C@]4(C)[C@@]3(F)[C@@H](O)C[C@@]21C,0.025,0.0,0.0,0.0,,0.0,0.0135
deserpidine,COC(=O)[C@H]1[C@H]2C[C@@H]3c4[nH]c5ccccc5c4CCN3C[C@@H]2C[C@@H](OC(=O)c2cc(OC)c(OC)c(OC)c2)[C@@H]1OC,0.025,0.0,0.0,0.0,,0.0,0.0135
(r)-(+)-pindolol,CC(C)NC[C@@H](O)COc1cccc2[nH]ccc12,0.025,0.0,0.0,0.0,,0.0,0.0135
progesterone,CC(=O)[C@H]1CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3CC[C@]12C,0.025,0.0,0.0,0.0,,0.0,0.0135
entacapone,CCN(CC)C(=O)/C(C#N)=C/c1cc(O)c(O)c([N+](=O)[O-])c1,0.025,0.0,0.0,0.0,,0.0,0.0135
dothiepin,CN(C)CC/C=C1\c2ccccc2CSc2ccccc21,0.025,0.0,0.0,0.0,,0.0,0.0135
timolol,CC(C)(C)NC[C@H](O)COc1nsnc1N1CCOCC1,0.025,0.0,0.0,0.0,,0.0,0.0135
ramelteon,CCC(=O)NCCC1CCc2ccc3c(c21)CCO3,0.025,0.0,0.0,0.0,,0.0,0.0135
misoprostol,CCCCC(C)(O)C/C=C/C1C(O)CC(=O)C1CCCCCCC(=O)OC,0.025,0.0,0.0,0.0,,0.0,0.0135
desvenlafaxine,CN(C)CC(c1ccc(O)cc1)C1(O)CCCCC1,0.025,0.0,0.0,0.0,,0.0,0.0135
reboxetine,CCOc1ccccc1O[C@@H](c1ccccc1)[C@H]1CNCCO1,0.025,0.0,0.0,0.0,,0.0,0.0135
(r)-aminoglutethimide,CC[C@]1(c2ccc(N)cc2)CCC(=O)NC1=O,0.025,0.0,0.0,0.0,,0.0,0.0135
esketamine,CN[C@]1(c2ccccc2Cl)CCCCC1=O,0.025,0.0,0.0,0.0,,0.0,0.0135
tetrabenazine (tetrabenzine),COc1cc2c(cc1OC)[C@@H]1CC(=O)[C@H](CC(C)C)CN1CC2,0.025,0.0,0.0,0.0,,0.0,0.0135
armodafinil,NC(=O)C[S@@+]([O-])C(c1ccccc1)c1ccccc1,0.025,0.0,0.0,0.0,,0.0,0.0135
ramelteon,CCC(=O)NCC[C@@H]1CCc2ccc3c(c21)CCO3,0.025,0.0,0.0,0.0,,0.0,0.0135
sirolimus,COC1C(=O)C(C)CC(C)/C=C/C=C/C=C(\C)[C@@H](OC)CC2CC[C@@H](C)[C@@](O)(O2)C(=O)C(=O)N2CCCCC2C(=O)OC(C(C)CC2CC[C@@H](O)C(OC)C2)CC(=O)[C@H](C)C=C(C)[C@@H]1O,0.025,0.0,0.0,0.0,,0.0,0.0135
temsirolimus,COC1CC(CC(C)C2CC(=O)[C@H](C)C=C(C)[C@H](O)C(OC)C(=O)C(C)CC(C)/C=C/C=C/C=C(\C)[C@@H](OC)CC3CC[C@@H](C)[C@@](O)(O3)C(=O)C(=O)N3CCCCC3C(=O)O2)CC[C@@H]1OC(=O)C(C)(CO)CO,0.025,0.0,0.0,0.0,,0.0,0.0135
fludrocortisone-acetate,CC(=O)OCC(=O)[C@@]1(O)CC[C@H]2[C@H]3CCC4=CC(=O)CC[C@@]4(C)[C@@]3(F)[C@H](O)C[C@]21C,0.025,0.0,0.0,0.0,,0.0,0.0135
simvastatin,CCC(C)(C)C(=O)O[C@H]1C[C@H](C)C=C2C=C[C@H](C)[C@@H](CC[C@H]3C[C@H](O)CC(=O)O3)[C@H]21,0.025,0.0,0.0,0.0,,0.0,0.0135
(r)-rivastigmine,CCN(C)C(=O)Oc1cccc([C@@H](C)N(C)C)c1,0.025,0.0,0.0,0.0,,0.0,0.0135
(s)-aminoglutethimide,CC[C@@]1(c2ccc(N)cc2)CCC(=O)NC1=O,0.025,0.0,0.0,0.0,,0.0,0.0135
nicotine,CN1CCCC1c1cccnc1,0.025,0.0,0.0,0.0,,0.0,0.0135
deserpidine,COC(=O)[C@@H]1[C@@H]2C[C@@H]3c4[nH]c5ccccc5c4CCN3C[C@@H]2C[C@@H](OC(=O)c2cc(OC)c(OC)c(OC)c2)[C@@H]1OC,0.025,0.0,0.0,0.0,,0.0,0.0135
reserpine,COc1ccc2c3c([nH]c2c1)[C@H]1C[C@@H]2[C@@H](C[C@@H](OC(=O)c4cc(OC)c(OC)c(OC)c4)[C@H](OC)[C@@H]2OC(C)=O)CN1CC3,0.025,0.0,0.0,0.0,,0.0,0.0135
moxonidine,COc1nc(C)nc(Cl)c1NC1=NCCN1,0.025,0.0,0.0,0.0,,0.0,0.0135
pentostatin,OC[C@H]1O[C@@H](n2cnc3c2NC=NC[C@H]3O)C[C@@H]1O,0.025,0.0,0.0,0.0,,0.0,0.0135
(s)-bicalutamide,C[C@@](O)(CS(=O)(=O)c1ccc(F)cc1)C(=O)Nc1ccc(C#N)c(C(F)(F)F)c1,0.025,0.0,0.0,0.0,,0.0,0.0135
methylphenidate,COC(=O)C(c1ccccc1)C1CCCCN1,0.025,0.0,0.0,0.0,,0.0,0.0135
dapoxetine,CN(C)[C@@H](CCOc1cccc2ccccc12)c1ccccc1,0.025,0.0,0.0,0.0,,0.0,0.0135
(s)-bendroflumethiazide,NS(=O)(=O)c1cc2c(cc1C(F)(F)F)N[C@H](Cc1ccccc1)NS2(=O)=O,0.025,0.0,0.0,0.0,,0.0,0.0135
dipyridamole,OCCN(CCO)c1nc(N2CCCCC2)c2nc(N(CCO)CCO)nc(N3CCCCC3)c2n1,0.025,0.0,0.0,0.0,,0.0,0.0135
nicotine,CN1CCC[C@H]1c1cccnc1,0.025,0.0,0.0,0.0,,0.0,0.0135
simvastatin,CCC(C)(C)C(=O)O[C@H]1C[C@@H](C)C=C2C=C[C@H](C)[C@H](CC[C@@H]3C[C@@H](O)CC(=O)O3)[C@H]21,0.025,0.0,0.0,0.0,,0.0,0.0135
isocarboxazid,Cc1cc(C(=O)NNCc2ccccc2)no1,0.025,0.0,0.0,0.0,,0.0,0.0135
pindolol,CC(C)NCC(O)COc1cccc2[nH]ccc12,0.025,0.0,0.0,0.0,,0.0,0.0135
phentermine,CC(C)(N)Cc1ccccc1,0.025,0.0,0.0,0.0,,0.0,0.0135
reboxetine,CCOc1ccccc1O[C@@H](c1ccccc1)[C@@H]1CNCCO1,0.025,0.0,0.0,0.0,,0.0,0.0135
atenolol,Cc1ccc(S(=O)(=O)[C@H]2[C@H](C(N)=S)[C@@H]2c2ccccc2)cc1,0.025,0.0,0.0,0.0,,0.0,0.0135
(s)-(-)-pindolol,CC(C)NC[C@H](O)COc1cccc2[nH]ccc12,0.025,0.0,0.0,0.0,,0.0,0.0135
gefitinib,COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1OCCCN1CCOCC1,0.025,0.0,0.0,0.0,,0.0,0.0135
atenolol ,CC(C)NCC(O)COc1ccc(CC(N)=O)cc1,0.025,0.0,0.0,0.0,,0.0,0.0135
modafinil,NC(=O)C[S+]([O-])C(c1ccccc1)c1ccccc1,0.025,0.0,0.0,0.0,,0.0,0.0135
(s)-mazindol,O[C@@]1(c2ccc(Cl)cc2)c2ccccc2C2=NCCN21,0.025,0.0,0.0,0.0,,0.0,0.0135
selegiline,C#CCN(C)[C@@H](C)Cc1ccccc1,0.025,0.0,0.0,0.0,,0.0,0.0135
amphetamine,CC(N)Cc1ccccc1,0.025,0.0,0.0,0.0,,0.0,0.0135
iproniazid,CC(C)NNC(=O)c1ccncc1,0.025,0.0,0.0,0.0,,0.0,0.0135
4-aminopyridine,Nc1ccncc1,0.0,0.0,-1.0,2.0,animal,0.05,0.013333333333333334
"2,5-dihydroxybenzoic acid",O=C(O)c1cc(O)ccc1O,0.0,0.0,0.0,2.0,animal,0.05,0.013333333333333334
amoxapine,Clc1ccc2c(c1)C(N1CCNCC1)=Nc1ccccc1O2,0.0166666666666666,0.0,0.0,0.0,,0.0,0.008999999999999965
betahistine,CCOC[C@]1(C#N)[C@@H](S(=O)(=O)c2ccc(Cl)cc2)[C@@H]1c1ccccc1,0.0125,0.0,0.0,0.0,,0.0,0.00675
dibenzepin,CN(C)CCN1C(=O)c2ccccc2N(C)c2ccccc21,0.0125,0.0,0.0,0.0,,0.0,0.00675
betahistine (y-g 14),CNCCc1ccccn1,0.0125,0.0,0.0,0.0,,0.0,0.00675
pyrazinamide,CCS(=O)(=O)[C@H]1[C@H](c2ccccc2)[C@]1(C#N)COC,0.0125,0.0,0.0,0.0,,0.0,0.00675
nimodipine,COCCOC(=O)C1=C(C)NC(C)=C(C(=O)OC(C)C)C1c1cccc([N+](=O)[O-])c1,0.0125,0.0,0.0,0.0,,0.0,0.00675
levetiracetam,CC[C@@H](C(N)=O)N1CCCC1=O,0.0125,0.0,0.0,0.0,,0.0,0.00675
pyridostigmine bromide,CC[C@@H](NC(=O)c1cc([N+](=O)[O-])ccc1Cl)c1ccc(C)cc1C,0.0125,0.0,0.0,0.0,,0.0,0.00675
(e)-tamoxifen,CC/C(=C(/c1ccccc1)c1ccc(OCCN(C)C)cc1)c1ccccc1,0.0,0.0,0.0,1.0,animal,0.025,0.006666666666666667
1-pentanol,CCCCCO,0.0,0.0,-1.0,1.0,human_observational,0.025,0.006666666666666667
5d,COc1cc(/C=C/C(=O)NCCn2c(C(F)(F)F)cc3ccccc32)cc(OC)c1OC,0.0,0.0,-1.0,1.0,animal,0.025,0.006666666666666667
(-)-nomifensine,CN1Cc2c(N)cccc2[C@H](c2ccccc2)C1,0.0,0.0,0.0,1.0,animal,0.025,0.006666666666666667
(s)-thalidomide,O=C1CC[C@H](N2C(=O)c3ccccc3C2=O)C(=O)N1,0.0,0.0,0.0,1.0,animal,0.025,0.006666666666666667
(+)-naloxone,C=CCN1CC[C@]23c4c5ccc(O)c4O[C@H]2C(=O)CC[C@]3(O)[C@H]1C5,0.0,0.0,0.0,1.0,animal,0.025,0.006666666666666667
(+)-alaproclate,C[C@@H](N)C(=O)OC(C)(C)Cc1ccc(Cl)cc1,0.0,0.0,-1.0,1.0,animal,0.025,0.006666666666666667
(+)-cathinone,C[C@@H](N)C(=O)c1ccccc1,0.0,0.0,0.0,1.0,animal,0.025,0.006666666666666667
2-butanone,CCC(C)=O,0.0,0.0,0.0,1.0,animal,0.025,0.006666666666666667
(-)-pentazocine,CC(C)=CCN1CC[C@]2(C)c3cc(O)ccc3C[C@@H]1[C@@H]2C,0.0,0.0,0.0,1.0,animal,0.025,0.006666666666666667
5-hydroxytryptophan,NC(Cc1c[nH]c2ccc(O)cc12)C(=O)O,0.0,0.0,0.0,1.0,animal,0.025,0.006666666666666667
probenecid,CCCN(CCC)S(=O)(=O)c1ccc(C(=O)O)cc1,0.0083333333333333,0.0,0.0,0.0,,0.0,0.004499999999999982
probenecid,Cc1oc(C(C)(C)N(C(C)(C)N)C(C)(C)N)c(C)c1C,0.0083333333333333,0.0,0.0,0.0,,0.0,0.004499999999999982
topiramate,CC1(C)OC2COC3(COS(N)(=O)=O)OC(C)(C)OC3C2O1,0.0083333333333333,0.0,0.0,0.0,,0.0,0.004499999999999982
topiramate,CC1(C)O[C@@H]2CO[C@@]3(COS(N)(=O)=O)OC(C)(C)O[C@H]3[C@@H]2O1,0.0083333333333333,0.0,0.0,0.0,,0.0,0.004499999999999982
capecitabine,CCCCCOC(=O)Nc1nc(=O)n([C@@H]2O[C@H](C)[C@@H](O)[C@H]2O)cc1F,0.0083333333333333,0.0,0.0,0.0,,0.0,0.004499999999999982
minaprine,Cc1cc(-c2ccccc2)nnc1NCCN1CCOCC1,0.0075,0.0,0.0,0.0,,0.0,0.00405
acetazolamide,CC(=O)Nc1nnc(S(N)(=O)=O)s1,0.00625,0.0,0.0,0.0,,0.0,0.003375
"n-[3-hydroxy-5-[[3-methyl-2-[[[methyl-[(2-propan-2-yl-4-thiazolyl)methyl]amino]-oxomethyl]amino]-1-oxobutyl]amino]-1,6-diphenylhexan-2-yl]carbamic acid 5-thiazolylmethyl ester",CC(C)c1nc(CN(C)C(=O)NC(C(=O)NC(Cc2ccccc2)CC(O)C(Cc2ccccc2)NC(=O)OCc2cncs2)C(C)C)cs1,0.0,0.0,0.0,0.0,,0.0,0.0
levocabastine hydrochloride,CC1CN(C2CCC(C#N)(c3ccc(F)cc3)CC2)CCC1(C(=O)O)c1ccccc1,0.0,0.0,0.0,0.0,,0.0,0.0
"5-chloro-4-methyl-1,4-dihydroquinazolin-2-amine",CC1N=C(N)Nc2cccc(Cl)c21,0.0,0.0,0.0,0.0,,0.0,0.0
2-o-methyl-paf (c),CCCCCCCCCCCCCCCCCCOCC(COP(=O)(O)OCC[N+](C)(C)C)OC,0.0,0.0,0.0,0.0,,0.0,0.0
mitratapid,CC[C@@H](C)n1ncn(-c2ccc(N3CCN(c4ccc(OC[C@@H]5CO[C@@](CSc6nncn6C)(c6ccc(Cl)cc6)O5)cc4)CC3)cc2)c1=O,0.0,0.0,0.0,0.0,,0.0,0.0
verapamil,COc1ccc(CCN(C)CCCC(C#N)(c2ccc(OC)c(OC)c2)C(C)C)cc1OC,0.0,0.0,0.0,0.0,,0.0,0.0
dexverapamil,COc1ccc(CCN(C)CCC[C@](C#N)(c2ccc(OC)c(OC)c2)C(C)C)cc1OC,0.0,0.0,0.0,0.0,,0.0,0.0
chembl239099,N#Cc1ccc(C(=O)N2CCN(c3ccc(OC4CCN(C5CCC5)CC4)cc3)C(=O)C2)cc1,0.0,0.0,0.0,0.0,,0.0,0.0
paliperidone,Cc1nc2n(c(=O)c1CCN1CCC(c3noc4cc(F)ccc34)CC1)CCCC2O,0.0,0.0,0.0,0.0,,0.0,0.0
granisetron,CN1C2CCCC1CC(NC(=O)c1nn(C)c3ccccc13)C2,0.0,0.0,0.0,0.0,,0.0,0.0
s120,O=C1CC=[N+](C2CC(F)C(CO)O2)C(=O)N1,0.0,0.0,0.0,0.0,,0.0,0.0
chembl476130,CNC(=O)c1c(NCC2CCC3(CCC3)CC2)nc(C#N)nc1OCC1CCNCC1,0.0,0.0,0.0,0.0,,0.0,0.0
7-hydroxy risperidone,Cc1nc2n(c(=O)c1CCN1CCC(c3noc4cc(F)ccc34)CC1)CC(O)CC2,0.0,0.0,0.0,0.0,,0.0,0.0
ribavirin,NC(=O)c1ncn(C2OC(CO)C(O)C2O)n1,0.0,0.0,0.0,0.0,,0.0,0.0
bbcpd12 (cimetidine derivative) (skb15),O=[N+]([O-])c1cc[nH]c1NCCSCc1ncccc1Br,0.0,0.0,0.0,0.0,,0.0,0.0
ribavirin,NC(=O)c1cnn(C2OC(CO)C(O)C2O)n1,0.0,0.0,0.0,0.0,,0.0,0.0
y15,Nc1cc(N)c(N)cc1N,0.0,0.0,0.0,0.0,,0.0,0.0
compound 31,O=[N+]([O-])C1=CC=NC1NCCSCc1ncccc1Br,0.0,0.0,0.0,0.0,,0.0,0.0
b-049,O=[N+]([O-])c1[nH]ccc1NCCSCc1ncccc1Br,0.0,0.0,0.0,0.0,,0.0,0.0
nalidixicacid,CCn1cc(C(=O)O)c(=O)c2ccc(C)nc21,0.0,0.0,0.0,0.0,,0.0,0.0
112598-30-8,O=[N+]([O-])c1cc[nH]c1NCCSCc1ccccn1,0.0,0.0,0.0,0.0,,0.0,0.0
prazosin,COc1cc2nc(N3CCN(C(=O)c4ccco4)CC3)nc(C)c2cc1OC,0.0,0.0,0.0,0.0,,0.0,0.0
y16,Cc1cccc(COc2cccc(/C=C3\C(=O)NN(c4ccccc4)C3=O)c2)c1,0.0,0.0,0.0,0.0,,0.0,0.0
schembl5010920,O=C1NCC(c2ccccc2)C2(CCN(C(=O)c3cc(C(F)(F)F)cc(C(F)(F)F)c3)CC2)O1,0.0,0.0,0.0,0.0,,0.0,0.0
compound 32,O=[N+]([O-])C1=CC=NC1NCCSCc1ccccn1,0.0,0.0,0.0,0.0,,0.0,0.0
tolonidine,Cc1ccc(NC2=NCCN2)c(Cl)c1,0.0,0.0,0.0,0.0,,0.0,0.0
itraconazole,CCC(C)n1ncn(-c2ccc(N3CCN(c4ccc(OCC5COC(Cn6cncn6)(c6ccc(Cl)cc6Cl)O5)cc4)CC3)cc2)c1=O,0.0,0.0,0.0,0.0,,0.0,0.0
itraconazole,CCC(C)n1ncn(-c2ccc(N3CCN(c4ccc(OC[C@H]5CO[C@](Cn6cncn6)(c6ccc(Cl)cc6Cl)O5)cc4)CC3)cc2)c1=O,0.0,0.0,0.0,0.0,,0.0,0.0
norverapamil,COc1ccc(CCNCCCC(C#N)(c2ccc(OC)c(OC)c2)C(C)C)cc1OC,0.0,0.0,0.0,0.0,,0.0,0.0
ketoconazole,CC(=O)N1CCN(c2ccc(OCC3CO[C@@](Cn4ccnc4)(c4ccc(Cl)cc4Cl)O3)cc2)CC1,0.0,0.0,0.0,0.0,,0.0,0.0
jnj-5207787,CC(=O)N1CCc2ccc(N(C(=O)/C=C/c3cccc(C#N)c3)N3CCN(CCC4CCCC4)CC3)cc21,0.0,0.0,0.0,0.0,,0.0,0.0
nan,CC(=O)Cc1ccc(C(=O)Nc2cc(-c3cccs3)ccc2N)cc1,0.0,0.0,0.0,0.0,,0.0,0.0
