drug_name,max_phase,molecule_type,therapeutic_flag,target_chembl_id,target_name,target_gene,mechanism
ALMOTRIPTAN MALATE,4,Small molecule,1,,5-hydroxytryptamine receptor 1D,HTR1D,AGONIST
ALMOTRIPTAN MALATE,4,Small molecule,1,,5-hydroxytryptamine receptor 1F,HTR1F,AGONIST
ALOGLIPTIN BENZOATE,4,Small molecule,1,,Dipeptidyl peptidase 4,DPP4,INHIBITOR
ALOSETRON HYDROCHLORIDE,4,Small molecule,1,,5-hydroxytryptamine receptor 3A,HTR3A,ANTAGONIST
ALPELISIB,4,Small molecule,1,,"Phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit alpha isoform",PIK3CA,INHIBITOR
ALPRAZOLAM,4,Small molecule,1,,GABA-A receptor; anion channel,GABRQ,POSITIVE ALLOSTERIC MODULATOR
ALPROSTADIL,4,Small molecule,1,,Prostaglandin E2 receptor EP1 subtype,PTGER1,AGONIST
ALPROSTADIL,4,Small molecule,1,,Prostaglandin E2 receptor EP2 subtype,PTGER2,AGONIST
ALTRETAMINE,4,Small molecule,1,,DNA,,INHIBITOR
ALVERINE,2,Small molecule,1,,5-hydroxytryptamine receptor 1A,HTR1A,ANTAGONIST
ALVERINE,2,Small molecule,1,,Hepatocyte nuclear factor 4-alpha,HNF4A,ACTIVATOR
ALVIMOPAN,4,Small molecule,1,,Mu-type opioid receptor,OPRM1,ANTAGONIST
AMANTADINE HYDROCHLORIDE,4,Small molecule,1,,Glutamate [NMDA] receptor,GRIN3B,ANTAGONIST
AMANTADINE HYDROCHLORIDE,4,Small molecule,1,,Matrix protein 2,M,INHIBITOR
AMBENONIUM CHLORIDE,4,Small molecule,1,,Acetylcholinesterase,ACHE,INHIBITOR
AMBRISENTAN,4,Small molecule,1,,"Endothelin receptor, ET-A/ET-B",EDNRB,ANTAGONIST
AMCINONIDE,4,Small molecule,1,,Glucocorticoid receptor,NR3C1,AGONIST
AMDINOCILLIN,4,Small molecule,1,,"Peptidoglycan D,D-transpeptidase MrdA",mrdA,INHIBITOR
AMDINOCILLIN PIVOXIL,4,Small molecule,1,,"Peptidoglycan D,D-transpeptidase MrdA",mrdA,INHIBITOR
AMIFAMPRIDINE,4,Small molecule,1,,Voltage-gated potassium channel,KCNV2,BLOCKER
AMIFAMPRIDINE PHOSPHATE,4,Small molecule,1,,Voltage-gated potassium channel,KCNV2,BLOCKER
AMIKACIN SULFATE,4,Small molecule,1,,Bacterial 70S ribosome,ykgO,INHIBITOR
AMILORIDE HYDROCHLORIDE,4,Small molecule,1,,"Amiloride-sensitive sodium channel, ENaC",SCNN1G,BLOCKER
AMINOCAPROIC ACID,4,Small molecule,1,,Plasminogen,PLG,INHIBITOR
AMINOCAPROIC ACID,4,Small molecule,1,,Tissue-type plasminogen activator,PLAT,INHIBITOR
AMINOGLUTETHIMIDE,4,Small molecule,1,,Aromatase,CYP19A1,INHIBITOR
AMINOGLUTETHIMIDE,4,Small molecule,1,,"Cholesterol side-chain cleavage enzyme, mitochondrial",CYP11A1,INHIBITOR
AMINOLEVULINIC ACID HYDROCHLORIDE,4,Small molecule,1,,DNA,,INHIBITOR
AMINOSALICYLATE POTASSIUM,4,Small molecule,1,,Dihydrofolate reductase,folA,INHIBITOR
AMINOSALICYLATE SODIUM,4,Small molecule,1,,Dihydrofolate reductase,folA,INHIBITOR
AMINOSALICYLIC ACID,4,Small molecule,1,,Dihydrofolate reductase,folA,INHIBITOR
AMIODARONE HYDROCHLORIDE,4,Small molecule,1,,Voltage-gated inwardly rectifying potassium channel KCNH2,KCNH2,BLOCKER
AMISULPRIDE,4,Small molecule,1,,Dopamine receptors; D2 & D3,DRD3,ANTAGONIST
AMISULPRIDE,4,Small molecule,1,,Serotonin (5-HT) receptor,HTR7,ANTAGONIST
AMITRIPTYLINE HYDROCHLORIDE,4,Small molecule,1,,Sodium-dependent noradrenaline transporter,SLC6A2,INHIBITOR
AMITRIPTYLINE HYDROCHLORIDE,4,Small molecule,1,,Sodium-dependent serotonin transporter,SLC6A4,INHIBITOR
AMLEXANOX,4,Small molecule,1,,Phosphodiesterase 4,PDE4D,INHIBITOR
AMLODIPINE BENZOATE,4,Small molecule,1,,Voltage-gated L-type calcium channel,CACNA1S,BLOCKER
AMLODIPINE BESYLATE,4,Small molecule,1,,Voltage-gated L-type calcium channel,CACNA1S,BLOCKER
AMLODIPINE MALEATE,4,Small molecule,1,,Voltage-gated L-type calcium channel,CACNA1S,BLOCKER
AMODIAQUINE HYDROCHLORIDE,4,Small molecule,1,,Ferriprotoporphyrin IX,,INHIBITOR
AMOXAPINE,4,Small molecule,1,,Dopamine receptor,DRD5,ANTAGONIST
AMOXAPINE,4,Small molecule,1,,Sodium-dependent noradrenaline transporter,SLC6A2,INHIBITOR
AMOXAPINE,4,Small molecule,1,,Sodium-dependent serotonin transporter,SLC6A4,INHIBITOR
AMOXICILLIN,4,Small molecule,1,,Bacterial penicillin-binding protein,mrdA,INHIBITOR
AMPHETAMINE,4,Small molecule,1,,Sodium-dependent dopamine transporter,SLC6A3,RELEASING AGENT
AMPHETAMINE,4,Small molecule,1,,Sodium-dependent noradrenaline transporter,SLC6A2,RELEASING AGENT
AMPHETAMINE ADIPATE,4,Small molecule,1,,Sodium-dependent dopamine transporter,SLC6A3,RELEASING AGENT
AMPHETAMINE ADIPATE,4,Small molecule,1,,Sodium-dependent noradrenaline transporter,SLC6A2,RELEASING AGENT
AMPHETAMINE ASPARTATE,4,Small molecule,1,,Sodium-dependent dopamine transporter,SLC6A3,RELEASING AGENT
AMPHETAMINE ASPARTATE,4,Small molecule,1,,Sodium-dependent noradrenaline transporter,SLC6A2,RELEASING AGENT
AMPHETAMINE SULFATE,4,Small molecule,1,,Sodium-dependent dopamine transporter,SLC6A3,RELEASING AGENT
AMPHETAMINE SULFATE,4,Small molecule,1,,Sodium-dependent noradrenaline transporter,SLC6A2,RELEASING AGENT
AMPHOTERICIN B,4,Small molecule,1,,Ergosterol,,SEQUESTERING AGENT
AMPICILLIN,4,Small molecule,1,,Bacterial penicillin-binding protein,mrdA,INHIBITOR
AMPICILLIN SODIUM,4,Small molecule,1,,Bacterial penicillin-binding protein,mrdA,INHIBITOR
AMPRENAVIR,4,Small molecule,1,,Human immunodeficiency virus type 1 protease,pol,INHIBITOR
AMSACRINE,4,Small molecule,1,,DNA topoisomerase II,TOP2B,INHIBITOR
ANAGRELIDE HYDROCHLORIDE,4,Small molecule,1,,Phosphodiesterase 3,PDE3B,INHIBITOR
ANASTROZOLE,4,Small molecule,1,,Aromatase,CYP19A1,INHIBITOR
ANIDULAFUNGIN,4,Small molecule,1,,"1,3-beta-glucan synthase",GSC1,INHIBITOR
ANILERIDINE HYDROCHLORIDE,4,Small molecule,1,,Kappa-type opioid receptor,OPRK1,AGONIST
ANILERIDINE HYDROCHLORIDE,4,Small molecule,1,,Mu-type opioid receptor,OPRM1,AGONIST
ANILERIDINE PHOSPHATE,4,Small molecule,1,,Kappa-type opioid receptor,OPRK1,AGONIST
ANILERIDINE PHOSPHATE,4,Small molecule,1,,Mu-type opioid receptor,OPRM1,AGONIST
ANISINDIONE,4,Small molecule,1,,Vitamin K-dependent gamma-carboxylase,GGCX,INHIBITOR
ANISOTROPINE METHYLBROMIDE,4,Small molecule,1,,Muscarinic acetylcholine receptor M1,CHRM1,ANTAGONIST
ANISOTROPINE METHYLBROMIDE,4,Small molecule,1,,Muscarinic acetylcholine receptor M3,CHRM3,ANTAGONIST
ANTAZOLINE PHOSPHATE,4,Small molecule,1,,Histamine H1 receptor,HRH1,ANTAGONIST
ANTIPYRINE,3,Small molecule,1,,Prostaglandin G/H synthase 1,PTGS1,INHIBITOR
APALUTAMIDE,4,Small molecule,1,,Androgen receptor,AR,ANTAGONIST
APAZONE,2,Small molecule,1,,Cyclooxygenase,PTGS2,INHIBITOR
APIXABAN,4,Small molecule,1,,Coagulation factor X,F10,INHIBITOR
APOMORPHINE HYDROCHLORIDE,4,Small molecule,1,,D2-like dopamine receptor,DRD4,AGONIST
APRACLONIDINE HYDROCHLORIDE,4,Small molecule,1,,Adrenergic receptor alpha-2,ADRA2C,AGONIST
APREMILAST,4,Small molecule,1,,Phosphodiesterase 4,PDE4D,INHIBITOR
APREPITANT,4,Small molecule,1,,Substance-P receptor,TACR1,ANTAGONIST
APROCITENTAN,4,Small molecule,1,,"Endothelin receptor, ET-A/ET-B",EDNRB,ANTAGONIST
ARFORMOTEROL TARTRATE,4,Small molecule,1,,Beta-2 adrenergic receptor,ADRB2,AGONIST
ARGATROBAN,4,Small molecule,1,,Prothrombin,F2,INHIBITOR
ARIPIPRAZOLE,4,Small molecule,1,,5-hydroxytryptamine receptor 1A,HTR1A,PARTIAL AGONIST
ARIPIPRAZOLE,4,Small molecule,1,,5-hydroxytryptamine receptor 2A,HTR2A,ANTAGONIST
ARIPIPRAZOLE,4,Small molecule,1,,D(2) dopamine receptor,DRD2,PARTIAL AGONIST
ARIPIPRAZOLE LAUROXIL,4,Small molecule,1,,5-hydroxytryptamine receptor 1A,HTR1A,PARTIAL AGONIST
ARIPIPRAZOLE LAUROXIL,4,Small molecule,1,,5-hydroxytryptamine receptor 2A,HTR2A,ANTAGONIST
ARIPIPRAZOLE LAUROXIL,4,Small molecule,1,,D(2) dopamine receptor,DRD2,PARTIAL AGONIST
ARMODAFINIL,4,Small molecule,1,,Sodium-dependent dopamine transporter,SLC6A3,INHIBITOR
ARSENIC TRIOXIDE,4,Small molecule,1,,"Thioredoxin reductase 1, cytoplasmic",TXNRD1,INHIBITOR
ARTEMETHER,4,Small molecule,1,,Ferriprotoporphyrin IX,,INHIBITOR
ARTENIMOL,3,Small molecule,1,,Ferriprotoporphyrin IX,,BINDING AGENT
ARTICAINE HYDROCHLORIDE,4,Small molecule,1,,Sodium channel alpha subunit,SCN9A,BLOCKER
ASCIMINIB,4,Small molecule,1,,Tyrosine-protein kinase ABL1,ABL1,INHIBITOR
ASCIMINIB HYDROCHLORIDE,4,Small molecule,1,,Bcr/Abl fusion protein,BCR,INHIBITOR
ASENAPINE MALEATE,4,Small molecule,1,,5-hydroxytryptamine receptor 2A,HTR2A,ANTAGONIST
ASENAPINE MALEATE,4,Small molecule,1,,D(2) dopamine receptor,DRD2,ANTAGONIST
ASPIRIN,4,Small molecule,1,,Cyclooxygenase,PTGS2,INHIBITOR
ASTEMIZOLE,4,Small molecule,1,,Histamine H1 receptor,HRH1,ANTAGONIST
ATALUREN,4,Small molecule,1,,80S Ribosome,RPSA,MODULATOR
ATAZANAVIR SULFATE,4,Small molecule,1,,Human immunodeficiency virus type 1 protease,pol,INHIBITOR
ATENOLOL,4,Small molecule,1,,Beta-1 adrenergic receptor,ADRB1,ANTAGONIST
ATOGEPANT,4,Small molecule,1,,Calcitonin gene-related peptide type 1 receptor,CALCRL,ANTAGONIST
ATOMOXETINE HYDROCHLORIDE,4,Small molecule,1,,Sodium-dependent noradrenaline transporter,SLC6A2,INHIBITOR
ATORVASTATIN CALCIUM,4,Small molecule,1,,3-hydroxy-3-methylglutaryl-coenzyme A reductase,HMGCR,INHIBITOR
ATOVAQUONE,4,Small molecule,1,,Cytochrome b,MT-CYB,INHIBITOR
ATRACURIUM BESYLATE,4,Small molecule,1,,Muscle-type nicotinic acetylcholine receptor,CHRNG,ANTAGONIST
ATROPINE,4,Small molecule,1,,Muscarinic acetylcholine receptor M1,CHRM1,ANTAGONIST
ATROPINE,4,Small molecule,1,,Muscarinic acetylcholine receptor M2,CHRM2,ANTAGONIST
ATROPINE,4,Small molecule,1,,Muscarinic acetylcholine receptor M3,CHRM3,ANTAGONIST
ATROPINE SULFATE,4,Small molecule,1,,Muscarinic acetylcholine receptor M1,CHRM1,ANTAGONIST
ATROPINE SULFATE,4,Small molecule,1,,Muscarinic acetylcholine receptor M2,CHRM2,ANTAGONIST
ATROPINE SULFATE,4,Small molecule,1,,Muscarinic acetylcholine receptor M3,CHRM3,ANTAGONIST
AVACOPAN,4,Small molecule,1,,C5a anaphylatoxin chemotactic receptor 1,C5AR1,ANTAGONIST
AVANAFIL,4,Small molecule,1,,"cGMP-specific 3',5'-cyclic phosphodiesterase",PDE5A,INHIBITOR
AVAPRITINIB,4,Small molecule,1,,Mast/stem cell growth factor receptor Kit,KIT,INHIBITOR
AVAPRITINIB,4,Small molecule,1,,Platelet-derived growth factor receptor alpha,PDGFRA,INHIBITOR
AVATROMBOPAG,4,Small molecule,1,,Thrombopoietin receptor,MPL,AGONIST
AVATROMBOPAG MALEATE,4,Small molecule,1,,Thrombopoietin receptor,MPL,AGONIST
AVIBACTAM SODIUM,4,Small molecule,1,,Beta-lactamase TEM,blaT-6,INHIBITOR
AXITINIB,4,Small molecule,1,,Vascular endothelial growth factor receptor,KDR,INHIBITOR
AZACITIDINE,4,Small molecule,1,,DNA,,INHIBITOR
AZACITIDINE,4,Small molecule,1,,DNA (cytosine-5)-methyltransferase 1,DNMT1,INHIBITOR
AZACITIDINE,4,Small molecule,1,,DNA (cytosine-5)-methyltransferase 3A,DNMT3A,INHIBITOR
AZACITIDINE,4,Small molecule,1,,RNA,,INHIBITOR
AZATADINE MALEATE,4,Small molecule,1,,Histamine H1 receptor,HRH1,ANTAGONIST
AZATHIOPRINE,4,Small molecule,1,,Amidophosphoribosyltransferase,PPAT,INHIBITOR
AZATHIOPRINE,4,Small molecule,1,,DNA,,INHIBITOR
AZATHIOPRINE SODIUM,4,Small molecule,1,,Amidophosphoribosyltransferase,PPAT,INHIBITOR
AZATHIOPRINE SODIUM,4,Small molecule,1,,DNA,,INHIBITOR
AZELASTINE HYDROCHLORIDE,4,Small molecule,1,,Histamine H1 receptor,HRH1,ANTAGONIST
AZILSARTAN KAMEDOXOMIL,4,Small molecule,1,,Type-1 angiotensin II receptor,AGTR1,ANTAGONIST
AZITHROMYCIN,4,Small molecule,1,,Bacterial 70S ribosome,ykgO,INHIBITOR
AZLOCILLIN SODIUM,4,Small molecule,1,,Penicillin-binding protein,ponB,INHIBITOR
AZTREONAM,4,Small molecule,1,,Bacterial penicillin-binding protein,mrdA,INHIBITOR
AZTREONAM LYSINE,4,Small molecule,1,,Bacterial penicillin-binding protein,mrdA,INHIBITOR
BACAMPICILLIN HYDROCHLORIDE,4,Small molecule,1,,Bacterial penicillin-binding protein,mrdA,INHIBITOR
BACLOFEN,4,Small molecule,1,,GABA-B receptor,GABBR2,AGONIST
BALOXAVIR MARBOXIL,4,Small molecule,1,,Polymerase acidic protein,PA,INHIBITOR
BALSALAZIDE DISODIUM,4,Small molecule,1,,Cyclooxygenase,PTGS2,INHIBITOR
BALSALAZIDE DISODIUM,4,Small molecule,1,,Peroxisome proliferator-activated receptor gamma,PPARG,AGONIST
BALSALAZIDE DISODIUM,4,Small molecule,1,,Polyunsaturated fatty acid 5-lipoxygenase,ALOX5,INHIBITOR
BARICITINIB,4,Small molecule,1,,Tyrosine-protein kinase JAK1,JAK1,INHIBITOR
BARICITINIB,4,Small molecule,1,,Tyrosine-protein kinase JAK2,JAK2,INHIBITOR
BAZEDOXIFENE ACETATE,4,Small molecule,1,,Estrogen receptor,ESR2,MODULATOR
BECLOMETHASONE DIPROPIONATE,4,Small molecule,1,,Glucocorticoid receptor,NR3C1,AGONIST
BEDAQUILINE FUMARATE,4,Small molecule,1,,ATP synthase,atpG,INHIBITOR
BELINOSTAT,4,Small molecule,1,,Histone deacetylase,HDAC9,INHIBITOR
BELUMOSUDIL,4,Small molecule,1,,Rho-associated protein kinase 2,ROCK2,INHIBITOR
BELUMOSUDIL MESYLATE,4,Small molecule,1,,Rho-associated protein kinase,ROCK2,INHIBITOR
BELZUTIFAN,4,Small molecule,1,,Endothelial PAS domain-containing protein 1,EPAS1,INHIBITOR
BEMPEDOIC ACID,4,Small molecule,1,,ATP-citrate synthase,ACLY,INHIBITOR
BENAZEPRIL HYDROCHLORIDE,4,Small molecule,1,,Angiotensin-converting enzyme,ACE,INHIBITOR
BENDAMUSTINE HYDROCHLORIDE,4,Small molecule,1,,DNA,,INHIBITOR
BENDROFLUMETHIAZIDE,4,Small molecule,1,,Solute carrier family 12 member 3,SLC12A3,INHIBITOR
BENOXINATE HYDROCHLORIDE,4,Small molecule,1,,Sodium channel alpha subunit,SCN9A,BLOCKER
BENPERIDOL,3,Small molecule,1,,D(2) dopamine receptor,DRD2,ANTAGONIST
BENSERAZIDE,3,Small molecule,1,,Aromatic-L-amino-acid decarboxylase,DDC,INHIBITOR
BENZALKONIUM,2,Small molecule,1,,Cell membrane,,DISRUPTING AGENT
BENZBROMARONE,4,Small molecule,1,,Solute carrier family 22 member 12,SLC22A12,INHIBITOR
BENZONATATE,4,Small molecule,1,,Slowly adapting pulmonary stretch receptor,,INHIBITOR
BENZPHETAMINE HYDROCHLORIDE,4,Small molecule,1,,Sodium-dependent noradrenaline transporter,SLC6A2,RELEASING AGENT
BENZPHETAMINE HYDROCHLORIDE,4,Small molecule,1,,Synaptic vesicular amine transporter,SLC18A2,INHIBITOR
BENZQUINAMIDE HYDROCHLORIDE,4,Small molecule,1,,D(2) dopamine receptor,DRD2,MODULATOR
BENZTHIAZIDE,4,Small molecule,1,,Solute carrier family 12 member 3,SLC12A3,INHIBITOR
BENZTROPINE MESYLATE,4,Small molecule,1,,Muscarinic acetylcholine receptor M1,CHRM1,ANTAGONIST
BENZYDAMINE,3,Small molecule,1,,Cyclooxygenase,PTGS2,INHIBITOR
BENZYDAMINE HYDROCHLORIDE,3,Small molecule,1,,Cyclooxygenase,PTGS2,INHIBITOR
BEPOTASTINE BESYLATE,4,Small molecule,1,,Histamine H1 receptor,HRH1,ANTAGONIST
BEPRIDIL HYDROCHLORIDE,4,Small molecule,1,,Voltage-gated calcium channel,CACNG8,BLOCKER
BEROTRALSTAT HYDROCHLORIDE,4,Small molecule,1,,Plasma kallikrein,KLKB1,INHIBITOR
BESIFLOXACIN HYDROCHLORIDE,4,Small molecule,1,,Bacterial DNA gyrase,gyrB,INHIBITOR
BESIFLOXACIN HYDROCHLORIDE,4,Small molecule,1,,Topoisomerase IV,parE,INHIBITOR
BETAHISTINE,2,Small molecule,1,,Histamine H1 receptor,HRH1,AGONIST
BETAHISTINE,2,Small molecule,1,,Histamine H3 receptor,HRH3,ANTAGONIST
BETAINE,4,Small molecule,1,,Betaine-homocysteine S-methyltransferase,BHMT2,SUBSTRATE
BETAINE HYDROCHLORIDE,1,Small molecule,1,,Betaine-homocysteine S-methyltransferase,BHMT2,SUBSTRATE
BETAMETHASONE,4,Small molecule,1,,Glucocorticoid receptor,NR3C1,AGONIST
BETAMETHASONE ACETATE,4,Small molecule,1,,Glucocorticoid receptor,NR3C1,AGONIST
BETAMETHASONE BENZOATE,4,Small molecule,1,,Glucocorticoid receptor,NR3C1,AGONIST
BETAMETHASONE DIPROPIONATE,4,Small molecule,1,,Glucocorticoid receptor,NR3C1,AGONIST
BETAMETHASONE SODIUM PHOSPHATE,4,Small molecule,1,,Glucocorticoid receptor,NR3C1,AGONIST
BETAMETHASONE VALERATE,4,Small molecule,1,,Glucocorticoid receptor,NR3C1,AGONIST
BETAXOLOL HYDROCHLORIDE,4,Small molecule,1,,Beta-1 adrenergic receptor,ADRB1,ANTAGONIST
BETAZOLE HYDROCHLORIDE,4,Small molecule,1,,Histamine H2 receptor,HRH2,AGONIST
BETHANECHOL CHLORIDE,4,Small molecule,1,,Muscarinic acetylcholine receptor M2,CHRM2,AGONIST
BETHANECHOL CHLORIDE,4,Small molecule,1,,Muscarinic acetylcholine receptor M3,CHRM3,AGONIST
BETHANIDINE SULFATE,4,Small molecule,1,,Sodium-dependent noradrenaline transporter,SLC6A2,SUBSTRATE
BETRIXABAN,4,Small molecule,1,,Coagulation factor X,F10,INHIBITOR
BEXAGLIFLOZIN,4,Small molecule,1,,Sodium/glucose cotransporter 2,SLC5A2,INHIBITOR
BEXAROTENE,4,Small molecule,1,,Retinoid X receptor,RXRG,AGONIST
BEZAFIBRATE,3,Small molecule,1,,Peroxisome proliferator-activated receptor,PPARG,AGONIST
BICALUTAMIDE,4,Small molecule,1,,Androgen receptor,AR,ANTAGONIST
BICTEGRAVIR,4,Small molecule,1,,Human immunodeficiency virus type 1 integrase,pol,INHIBITOR
