compound_name,SMILES,drug_norm,num_targets_moa,ad_weight_sum,num_core_hits,ad_hit_targets,drug_name_out,ad_score_norm,core_gate,ad_score_gated,phase2_score
naproxen,COc1ccc2cc([C@H](C)C(=O)O)ccc2c1,naproxen,1,2.0,0,PTGS2,naproxen,2.0,0,0.1,0.1
(s)-(+)-ibuprofen,CC(C)Cc1ccc([C@H](C)C(=O)O)cc1,ibuprofen,1,2.0,0,PTGS2,(s)-(+)-ibuprofen,2.0,0,0.1,0.1
ketoprofen,O=C(NCCSCc1ccccc1)/C(=C/c1ccco1)c1ccccc1,ketoprofen,1,2.0,0,PTGS2,ketoprofen,2.0,0,0.1,0.1
phenylbutazone,CCCCC1C(=O)N(c2ccccc2)N(c2ccccc2)C1=O,phenylbutazone,1,2.0,0,PTGS2,phenylbutazone,2.0,0,0.1,0.1
acetaminophen (p-acetamidophenol),CC(=O)Nc1ccc(O)cc1,acetaminophen,3,3.0,0,FAAH;PTGS2;TRPV1,acetaminophen (p-acetamidophenol),1.0,0,0.05,0.05
nicotine,CN1CCCC1c1cccnc1,nicotine,1,0.5,0,CHRNB2,nicotine,0.5,0,0.025,0.025
pentostatin,OC[C@H]1O[C@@H](n2cnc3c2NC=NC[C@H]3O)C[C@@H]1O,pentostatin,1,0.5,0,ADA,pentostatin,0.5,0,0.025,0.025
(s)-bicalutamide,C[C@@](O)(CS(=O)(=O)c1ccc(F)cc1)C(=O)Nc1ccc(C#N)c(C(F)(F)F)c1,bicalutamide,1,0.5,0,AR,(s)-bicalutamide,0.5,0,0.025,0.025
methylphenidate,COC(=O)C(c1ccccc1)C1CCCCN1,methylphenidate,2,1.0,0,SLC6A2;SLC6A3,methylphenidate,0.5,0,0.025,0.025
dapoxetine,CN(C)[C@@H](CCOc1cccc2ccccc12)c1ccccc1,dapoxetine,1,0.5,0,SLC6A4,dapoxetine,0.5,0,0.025,0.025
(s)-bendroflumethiazide,NS(=O)(=O)c1cc2c(cc1C(F)(F)F)N[C@H](Cc1ccccc1)NS2(=O)=O,bendroflumethiazide,1,0.5,0,SLC12A3,(s)-bendroflumethiazide,0.5,0,0.025,0.025
dipyridamole,OCCN(CCO)c1nc(N2CCCCC2)c2nc(N(CCO)CCO)nc(N3CCCCC3)c2n1,dipyridamole,2,1.0,0,PDE9A;SLC29A1,dipyridamole,0.5,0,0.025,0.025
nicotine,CN1CCC[C@H]1c1cccnc1,nicotine,1,0.5,0,CHRNB2,nicotine,0.5,0,0.025,0.025
simvastatin,CCC(C)(C)C(=O)O[C@H]1C[C@@H](C)C=C2C=C[C@H](C)[C@H](CC[C@@H]3C[C@@H](O)CC(=O)O3)[C@H]21,simvastatin,1,0.5,0,HMGCR,simvastatin,0.5,0,0.025,0.025
isocarboxazid,Cc1cc(C(=O)NNCc2ccccc2)no1,isocarboxazid,1,0.5,0,MAOB,isocarboxazid,0.5,0,0.025,0.025
pindolol,CC(C)NCC(O)COc1cccc2[nH]ccc12,pindolol,2,1.0,0,ADRB1;ADRB2,pindolol,0.5,0,0.025,0.025
reboxetine,CCOc1ccccc1O[C@@H](c1ccccc1)[C@@H]1CNCCO1,reboxetine,1,0.5,0,SLC6A2,reboxetine,0.5,0,0.025,0.025
progesterone,CC(=O)[C@H]1CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3CC[C@]12C,progesterone,1,0.5,0,PGR,progesterone,0.5,0,0.025,0.025
gefitinib,COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1OCCCN1CCOCC1,gefitinib,1,0.5,0,EGFR,gefitinib,0.5,0,0.025,0.025
atenolol ,CC(C)NCC(O)COc1ccc(CC(N)=O)cc1,atenolol,1,0.5,0,ADRB1,atenolol ,0.5,0,0.025,0.025
modafinil,NC(=O)C[S+]([O-])C(c1ccccc1)c1ccccc1,modafinil,1,0.5,0,SLC6A3,modafinil,0.5,0,0.025,0.025
(s)-mazindol,O[C@@]1(c2ccc(Cl)cc2)c2ccccc2C2=NCCN21,mazindol,1,0.5,0,SLC6A4,(s)-mazindol,0.5,0,0.025,0.025
selegiline,C#CCN(C)[C@@H](C)Cc1ccccc1,selegiline,1,0.5,0,MAOB,selegiline,0.5,0,0.025,0.025
amphetamine,CC(N)Cc1ccccc1,amphetamine,2,1.0,0,SLC6A2;SLC6A3,amphetamine,0.5,0,0.025,0.025
iproniazid,CC(C)NNC(=O)c1ccncc1,iproniazid,1,0.5,0,MAOB,iproniazid,0.5,0,0.025,0.025
(s)-(-)-pindolol,CC(C)NC[C@H](O)COc1cccc2[nH]ccc12,pindolol,2,1.0,0,ADRB1;ADRB2,(s)-(-)-pindolol,0.5,0,0.025,0.025
reboxetine,CCOc1ccccc1O[C@H](c1ccccc1)[C@H]1CNCCO1,reboxetine,1,0.5,0,SLC6A2,reboxetine,0.5,0,0.025,0.025
tetrabenazine (tetrabenzine),COc1cc2c(cc1OC)C1CC(=O)C(CC(C)C)CN1CC2,tetrabenazine,1,0.5,0,SLC18A2,tetrabenazine (tetrabenzine),0.5,0,0.025,0.025
rescinnamine,COC(=O)[C@H]1[C@H]2C[C@@H]3c4[nH]c5cc(OC)ccc5c4CCN3C[C@H]2C[C@@H](OC(=O)/C=C/c2cc(OC)c(OC)c(OC)c2)[C@@H]1OC,rescinnamine,1,0.5,0,SLC18A2,rescinnamine,0.5,0,0.025,0.025
reserpine,COC(=O)[C@H]1[C@H]2C[C@@H]3c4[nH]c5cc(OC)ccc5c4CCN3C[C@H]2C[C@@H](OC(=O)c2cc(OC)c(OC)c(OC)c2)[C@@H]1OC,reserpine,1,0.5,0,SLC18A2,reserpine,0.5,0,0.025,0.025
varenicline,c1cnc2cc3c(cc2n1)C1CNCC3C1,varenicline,1,0.5,0,CHRNB2,varenicline,0.5,0,0.025,0.025
mazindol,OC1(c2ccc(Cl)cc2)c2ccccc2C2=NCCN21,mazindol,1,0.5,0,SLC6A4,mazindol,0.5,0,0.025,0.025
testosterone,CC12CCC(=O)C=C1CCC1C2CCC2(C)C(O)CCC12,testosterone,1,0.5,0,AR,testosterone,0.5,0,0.025,0.025
deserpidine,COC(=O)[C@H]1[C@H]2C[C@@H]3c4[nH]c5ccccc5c4CCN3C[C@H]2C[C@@H](OC(=O)c2cc(OC)c(OC)c(OC)c2)[C@@H]1OC,deserpidine,1,0.5,0,SLC18A2,deserpidine,0.5,0,0.025,0.025
dothiepin,CN(C)CC/C=C1/c2ccccc2CSc2ccccc21,dothiepin,2,1.0,0,SLC6A2;SLC6A4,dothiepin,0.5,0,0.025,0.025
felbamate,NC(=O)OCC(COC(N)=O)c1ccccc1,felbamate,1,0.5,0,GRIN3B,felbamate,0.5,0,0.025,0.025
fludrocortisone acetate,CC(=O)OCC(=O)[C@@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@@]3(F)[C@@H](O)C[C@@]21C,fludrocortisone acetate,1,0.5,0,NR3C2,fludrocortisone acetate,0.5,0,0.025,0.025
rivastigmine,CCN(C)C(=O)Oc1cccc([C@H](C)N(C)C)c1,rivastigmine,1,0.5,0,BCHE,rivastigmine,0.5,0,0.025,0.025
selegiline,C#CCN(C)[C@H](C)Cc1ccccc1,selegiline,1,0.5,0,MAOB,selegiline,0.5,0,0.025,0.025
practolol,CC(=O)Nc1ccc(OC[C@@H](O)CNC(C)C)cc1,practolol,1,0.5,0,ADRB1,practolol,0.5,0,0.025,0.025
lovastatin,CC[C@H](C)C(=O)O[C@H]1C[C@@H](C)C=C2C=C[C@H](C)[C@H](CC[C@@H]3C[C@@H](O)CC(=O)O3)[C@H]21,lovastatin,1,0.5,0,HMGCR,lovastatin,0.5,0,0.025,0.025
"(3s,11bs)-tetrabenazine",COc1cc2c(cc1OC)[C@@H]1CC(=O)[C@@H](CC(C)C)CN1CC2,tetrabenazine,1,0.5,0,SLC18A2,"(3s,11bs)-tetrabenazine",0.5,0,0.025,0.025
amphetamine,CC[C@H](NC(=O)[C@@H](C)SCc1ccccc1)c1ccc(S(C)(=O)=O)cc1,amphetamine,2,1.0,0,SLC6A2;SLC6A3,amphetamine,0.5,0,0.025,0.025
disulfiram,COC[C@]1(C(=O)O)[C@@H](S(C)(=O)=O)[C@@H]1c1ccc(OC)cc1,disulfiram,1,0.5,0,ALDH2,disulfiram,0.5,0,0.025,0.025
rescinnamine,COc1ccc(C(=O)c2coc3ccc(O)c(CN4CCN(C)CC4)c23)cc1,rescinnamine,1,0.5,0,SLC18A2,rescinnamine,0.5,0,0.025,0.025
methylphenidate,COc1ccc([C@H]2[C@@H](S(=O)(=O)c3ccc(C)cc3)[C@]2(C#N)C=O)cc1,methylphenidate,2,1.0,0,SLC6A2;SLC6A3,methylphenidate,0.5,0,0.025,0.025
pentostatin,COc1ccc([C@H]2[C@@H](S(=O)(=O)c3ccc(Cl)cc3)C2(CN)CN)cc1,pentostatin,1,0.5,0,ADA,pentostatin,0.5,0,0.025,0.025
nicotine,CS(=O)(=O)[C@@H]1[C@H](C(N)=S)[C@@H]1c1ccccc1,nicotine,1,0.5,0,CHRNB2,nicotine,0.5,0,0.025,0.025
reserpine,Cc1ccc(CS(=O)(=O)N[C@H](c2ccccn2)C2CC(O)C2)cc1,reserpine,1,0.5,0,SLC18A2,reserpine,0.5,0,0.025,0.025
atenolol,Cc1ccc(S(=O)(=O)[C@H]2[C@H](C(N)=S)[C@@H]2c2ccccc2)cc1,atenolol,1,0.5,0,ADRB1,atenolol,0.5,0,0.025,0.025
pindolol,O=C(C[C@H]1C[C@H]2CC[C@@H]1C2)NC[C@@H](O)c1ccccc1,pindolol,2,1.0,0,ADRB1;ADRB2,pindolol,0.5,0,0.025,0.025
moclobemide,O=C(Cc1csc(-n2cccc2)n1)N1CCCC[C@H]1c1cccnc1,moclobemide,1,0.5,0,MAOA,moclobemide,0.5,0,0.025,0.025
selegiline,C#CCN(C)C(C)Cc1ccccc1,selegiline,1,0.5,0,MAOB,selegiline,0.5,0,0.025,0.025
fludrocortisone acetate,CC(=O)OCC(=O)C1(O)CCC2C3CCC4=CC(=O)CCC4(C)C3(F)C(O)CC21C,fludrocortisone acetate,1,0.5,0,NR3C2,fludrocortisone acetate,0.5,0,0.025,0.025
estradiol,CCCNC(=O)c1ccc2c(c1)N(C(C)CN1CCCC1)c1ccccc1S2,estradiol,1,0.5,0,ESR1,estradiol,0.5,0,0.025,0.025
reboxetine,CCOc1ccccc1OC(c1ccccc1)C1CNCCO1,reboxetine,1,0.5,0,SLC6A2,reboxetine,0.5,0,0.025,0.025
dothiepin,CN(C)CCC=C1c2ccccc2CSc2ccccc21,dothiepin,2,1.0,0,SLC6A2;SLC6A4,dothiepin,0.5,0,0.025,0.025
reserpine,COc1ccc2c3c([nH]c2c1)C1CC2C(CC(OC(=O)c4cc(OC)c(OC)c(OC)c4)C(OC)C2OC(C)=O)CN1CC3,reserpine,1,0.5,0,SLC18A2,reserpine,0.5,0,0.025,0.025
fludrocortisone acetate,CC(=O)OCC(=O)[C@@]1(O)CCC2C3CCC4=CC(=O)CC[C@]4(C)[C@@]3(F)[C@@H](O)C[C@@]21C,fludrocortisone acetate,1,0.5,0,NR3C2,fludrocortisone acetate,0.5,0,0.025,0.025
deserpidine,COC(=O)[C@H]1[C@H]2C[C@@H]3c4[nH]c5ccccc5c4CCN3C[C@@H]2C[C@@H](OC(=O)c2cc(OC)c(OC)c(OC)c2)[C@@H]1OC,deserpidine,1,0.5,0,SLC18A2,deserpidine,0.5,0,0.025,0.025
(r)-(+)-pindolol,CC(C)NC[C@@H](O)COc1cccc2[nH]ccc12,pindolol,2,1.0,0,ADRB1;ADRB2,(r)-(+)-pindolol,0.5,0,0.025,0.025
phentermine,CC(C)(N)Cc1ccccc1,phentermine,1,0.5,0,SLC6A2,phentermine,0.5,0,0.025,0.025
entacapone,CCN(CC)C(=O)/C(C#N)=C/c1cc(O)c(O)c([N+](=O)[O-])c1,entacapone,1,0.5,0,COMT,entacapone,0.5,0,0.025,0.025
dothiepin,CN(C)CC/C=C1\c2ccccc2CSc2ccccc21,dothiepin,2,1.0,0,SLC6A2;SLC6A4,dothiepin,0.5,0,0.025,0.025
timolol,CC(C)(C)NC[C@H](O)COc1nsnc1N1CCOCC1,timolol,2,1.0,0,ADRB1;ADRB2,timolol,0.5,0,0.025,0.025
ramelteon,CCC(=O)NCCC1CCc2ccc3c(c21)CCO3,ramelteon,1,0.5,0,MTNR1B,ramelteon,0.5,0,0.025,0.025
misoprostol,CCCCC(C)(O)C/C=C/C1C(O)CC(=O)C1CCCCCCC(=O)OC,misoprostol,1,0.5,0,PTGER3,misoprostol,0.5,0,0.025,0.025
desvenlafaxine,CN(C)CC(c1ccc(O)cc1)C1(O)CCCCC1,desvenlafaxine,2,1.0,0,SLC6A2;SLC6A4,desvenlafaxine,0.5,0,0.025,0.025
reboxetine,CCOc1ccccc1O[C@@H](c1ccccc1)[C@H]1CNCCO1,reboxetine,1,0.5,0,SLC6A2,reboxetine,0.5,0,0.025,0.025
(r)-aminoglutethimide,CC[C@]1(c2ccc(N)cc2)CCC(=O)NC1=O,aminoglutethimide,2,1.0,0,CYP11A1;CYP19A1,(r)-aminoglutethimide,0.5,0,0.025,0.025
esketamine,CN[C@]1(c2ccccc2Cl)CCCCC1=O,esketamine,1,0.5,0,GRIN3B,esketamine,0.5,0,0.025,0.025
tetrabenazine (tetrabenzine),COc1cc2c(cc1OC)[C@@H]1CC(=O)[C@H](CC(C)C)CN1CC2,tetrabenazine,1,0.5,0,SLC18A2,tetrabenazine (tetrabenzine),0.5,0,0.025,0.025
armodafinil,NC(=O)C[S@@+]([O-])C(c1ccccc1)c1ccccc1,armodafinil,1,0.5,0,SLC6A3,armodafinil,0.5,0,0.025,0.025
ramelteon,CCC(=O)NCC[C@@H]1CCc2ccc3c(c21)CCO3,ramelteon,1,0.5,0,MTNR1B,ramelteon,0.5,0,0.025,0.025
sirolimus,COC1C(=O)C(C)CC(C)/C=C/C=C/C=C(\C)[C@@H](OC)CC2CC[C@@H](C)[C@@](O)(O2)C(=O)C(=O)N2CCCCC2C(=O)OC(C(C)CC2CC[C@@H](O)C(OC)C2)CC(=O)[C@H](C)C=C(C)[C@@H]1O,sirolimus,1,0.5,0,FKBP1A,sirolimus,0.5,0,0.025,0.025
temsirolimus,COC1CC(CC(C)C2CC(=O)[C@H](C)C=C(C)[C@H](O)C(OC)C(=O)C(C)CC(C)/C=C/C=C/C=C(\C)[C@@H](OC)CC3CC[C@@H](C)[C@@](O)(O3)C(=O)C(=O)N3CCCCC3C(=O)O2)CC[C@@H]1OC(=O)C(C)(CO)CO,temsirolimus,1,0.5,0,FKBP1A,temsirolimus,0.5,0,0.025,0.025
fludrocortisone-acetate,CC(=O)OCC(=O)[C@@]1(O)CC[C@H]2[C@H]3CCC4=CC(=O)CC[C@@]4(C)[C@@]3(F)[C@H](O)C[C@]21C,fludrocortisone acetate,1,0.5,0,NR3C2,fludrocortisone-acetate,0.5,0,0.025,0.025
simvastatin,CCC(C)(C)C(=O)O[C@H]1C[C@H](C)C=C2C=C[C@H](C)[C@@H](CC[C@H]3C[C@H](O)CC(=O)O3)[C@H]21,simvastatin,1,0.5,0,HMGCR,simvastatin,0.5,0,0.025,0.025
(r)-rivastigmine,CCN(C)C(=O)Oc1cccc([C@@H](C)N(C)C)c1,rivastigmine,1,0.5,0,BCHE,(r)-rivastigmine,0.5,0,0.025,0.025
(s)-aminoglutethimide,CC[C@@]1(c2ccc(N)cc2)CCC(=O)NC1=O,aminoglutethimide,2,1.0,0,CYP11A1;CYP19A1,(s)-aminoglutethimide,0.5,0,0.025,0.025
(+)-nicotine,CN1CCC[C@@H]1c1cccnc1,nicotine,1,0.5,0,CHRNB2,(+)-nicotine,0.5,0,0.025,0.025
deserpidine,COC(=O)[C@@H]1[C@@H]2C[C@@H]3c4[nH]c5ccccc5c4CCN3C[C@@H]2C[C@@H](OC(=O)c2cc(OC)c(OC)c(OC)c2)[C@@H]1OC,deserpidine,1,0.5,0,SLC18A2,deserpidine,0.5,0,0.025,0.025
reserpine,COc1ccc2c3c([nH]c2c1)[C@H]1C[C@@H]2[C@@H](C[C@@H](OC(=O)c4cc(OC)c(OC)c(OC)c4)[C@H](OC)[C@@H]2OC(C)=O)CN1CC3,reserpine,1,0.5,0,SLC18A2,reserpine,0.5,0,0.025,0.025
moxonidine,COc1nc(C)nc(Cl)c1NC1=NCCN1,moxonidine,1,0.5,0,NISCH,moxonidine,0.5,0,0.025,0.025
amoxapine,Clc1ccc2c(c1)C(N1CCNCC1)=Nc1ccccc1O2,amoxapine,3,1.0,0,SLC6A2;SLC6A4,amoxapine,0.3333333333333333,0,0.016666666666666666,0.016666666666666666
nimodipine,COCCOC(=O)C1=C(C)NC(C)=C(C(=O)OC(C)C)C1c1cccc([N+](=O)[O-])c1,nimodipine,2,0.5,0,NR3C2,nimodipine,0.25,0,0.0125,0.0125
levetiracetam,CC[C@@H](C(N)=O)N1CCCC1=O,levetiracetam,2,0.5,0,SV2A,levetiracetam,0.25,0,0.0125,0.0125
pyridostigmine bromide,CC[C@@H](NC(=O)c1cc([N+](=O)[O-])ccc1Cl)c1ccc(C)cc1C,pyridostigmine bromide,1,0.25,0,ACHE,pyridostigmine bromide,0.25,0,0.0125,0.0125
betahistine,CCOC[C@]1(C#N)[C@@H](S(=O)(=O)c2ccc(Cl)cc2)[C@@H]1c1ccccc1,betahistine,2,0.5,0,HRH3,betahistine,0.25,0,0.0125,0.0125
dibenzepin,CN(C)CCN1C(=O)c2ccccc2N(C)c2ccccc21,dibenzepin,2,0.5,0,SLC6A2,dibenzepin,0.25,0,0.0125,0.0125
betahistine (y-g 14),CNCCc1ccccn1,betahistine,2,0.5,0,HRH3,betahistine (y-g 14),0.25,0,0.0125,0.0125
pyrazinamide,CCS(=O)(=O)[C@H]1[C@H](c2ccccc2)[C@]1(C#N)COC,pyrazinamide,2,0.5,0,FAS,pyrazinamide,0.25,0,0.0125,0.0125
probenecid,CCCN(CCC)S(=O)(=O)c1ccc(C(=O)O)cc1,probenecid,3,0.5,0,SLC22A8,probenecid,0.16666666666666666,0,0.008333333333333333,0.008333333333333333
probenecid,Cc1oc(C(C)(C)N(C(C)(C)N)C(C)(C)N)c(C)c1C,probenecid,3,0.5,0,SLC22A8,probenecid,0.16666666666666666,0,0.008333333333333333,0.008333333333333333
topiramate,CC1(C)OC2COC3(COS(N)(=O)=O)OC(C)(C)OC3C2O1,topiramate,6,1.0,0,CA2;GRIA4,topiramate,0.16666666666666666,0,0.008333333333333333,0.008333333333333333
topiramate,CC1(C)O[C@@H]2CO[C@@]3(COS(N)(=O)=O)OC(C)(C)O[C@H]3[C@@H]2O1,topiramate,6,1.0,0,CA2;GRIA4,topiramate,0.16666666666666666,0,0.008333333333333333,0.008333333333333333
capecitabine,CCCCCOC(=O)Nc1nc(=O)n([C@@H]2O[C@H](C)[C@@H](O)[C@H]2O)cc1F,capecitabine,3,0.5,0,TYMS,capecitabine,0.16666666666666666,0,0.008333333333333333,0.008333333333333333
minaprine,Cc1cc(-c2ccccc2)nnc1NCCN1CCOCC1,minaprine,5,0.75,0,ACHE;MAOA,minaprine,0.15,0,0.0075,0.0075
acetazolamide,CC(=O)Nc1nnc(S(N)(=O)=O)s1,acetazolamide,4,0.5,0,CA2,acetazolamide,0.125,0,0.00625,0.00625
chembl244000,Oc1ccc(-c2ccc3cc(O)ccc3c2Oc2ccc(OCCN3CCCCC3)cc2)cc1,chembl244000,0,0.0,0,,chembl244000,0.0,0,0.0,0.0
ofloxacin,CC1COc2c(N3CCN(C)CC3)c(F)cc3c(=O)c(C(=O)O)cn1c23,ofloxacin,1,0.0,0,,ofloxacin,0.0,0,0.0,0.0
indinavir,CC(C)(C)NC(=O)C1CN(Cc2cccnc2)CCN1CC(O)CC(Cc1ccccc1)C(=O)NC1c2ccccc2CC1O,indinavir,0,0.0,0,,indinavir,0.0,0,0.0,0.0
chembl344991,CN(C)Cc1ccc(CSCCNc2[nH]cc(Cc3ccccc3)c2[N+](=O)[O-])o1,chembl344991,0,0.0,0,,chembl344991,0.0,0,0.0,0.0
-,CN(C)Cc1ccc(SCCNc2[nH]cc(Cc3ccccc3)c2[N+](=O)[O-])o1,,0,0.0,0,,-,0.0,0,0.0,0.0
b-057,CN(C)Cc1ccc(CSCCNc2[nH]ccc2Cc2ccccc2)o1,b 057,0,0.0,0,,b-057,0.0,0,0.0,0.0
,CN(C)Cc1ccc(CSCCNc2cc(Cc3ccccc3)c[nH]2)o1,,0,0.0,0,,nan,0.0,0,0.0,0.0
zidovudine,Cc1cn(C2CC(N=[N+]=[N-])C(CO)O2)c(=O)[nH]c1=O,zidovudine,1,0.0,0,,zidovudine,0.0,0,0.0,0.0
roscovitine,CCC(CO)Nc1nc(NCc2ccccc2)c2ncn(C(C)C)c2n1,roscovitine,0,0.0,0,,roscovitine,0.0,0,0.0,0.0
zidovudine,Cc1cn(C2CC(N=[N+]=N)C(CO)O2)c(=O)[nH]c1=O,zidovudine,1,0.0,0,,zidovudine,0.0,0,0.0,0.0
zidovudine,Cc1cn(C2CC(NN=N)C(CO)O2)c(=O)[nH]c1=O,zidovudine,1,0.0,0,,zidovudine,0.0,0,0.0,0.0
ncistruc1_000794,Cc1cn([C@@H]2C[C@H](N=[N+]=[N-])[C@H](CO)O2)c(=O)[nH]c1=O,ncistruc1 000794,0,0.0,0,,ncistruc1_000794,0.0,0,0.0,0.0
"alfentanil, rapifen",CCCC(=O)N(c1ccccc1)C1(COC)CCN(CCn2nnn(CC)c2=O)CC1,alfentanil rapifen,0,0.0,0,,"alfentanil, rapifen",0.0,0,0.0,0.0
6-mercaptopurine,S=c1nc[nH]c2nc[nH]c12,6 mercaptopurine,0,0.0,0,,6-mercaptopurine,0.0,0,0.0,0.0
zidovudine,Cc1cn([C@H]2C[C@H](N=[N+]=[N-])[C@@H](CO)O2)c(=O)[nH]c1=O,zidovudine,1,0.0,0,,zidovudine,0.0,0,0.0,0.0
cyclosporin a,C/C=C/CC(C)C(O)C1C(=O)NC(CC)C(=O)N(C)CC(=O)N(C)C(CC(C)C)C(=O)NC(C(C)C)C(=O)N(C)C(CC(C)C)C(=O)NC(C)C(=O)NC(C)C(=O)N(C)C(CC(C)C)C(=O)N(C)C(CC(C)C)C(=O)N(C)C(C(C)C)C(=O)N1C,cyclosporin a,0,0.0,0,,cyclosporin a,0.0,0,0.0,0.0
quinidine,C=CC1C[C@@H]2CC[C@H]1C[C@@H]2[C@@H](O)c1ccnc2ccc(OC)cc12,quinidine,0,0.0,0,,quinidine,0.0,0,0.0,0.0
"n-[3-hydroxy-5-[[3-methyl-2-[[[methyl-[(2-propan-2-yl-4-thiazolyl)methyl]amino]-oxomethyl]amino]-1-oxobutyl]amino]-1,6-diphenylhexan-2-yl]carbamic acid 5-thiazolylmethyl ester",CC(C)c1nc(CN(C)C(=O)NC(C(=O)NC(Cc2ccccc2)CC(O)C(Cc2ccccc2)NC(=O)OCc2cncs2)C(C)C)cs1,n 3 hydroxy 5 3 methyl 2 methyl methyl amino oxomethyl amino 1 oxobutyl amino 1 6 diphenylhexan 2 yl carbamic acid 5 thiazolylmethyl ester,0,0.0,0,,"n-[3-hydroxy-5-[[3-methyl-2-[[[methyl-[(2-propan-2-yl-4-thiazolyl)methyl]amino]-oxomethyl]amino]-1-oxobutyl]amino]-1,6-diphenylhexan-2-yl]carbamic acid 5-thiazolylmethyl ester",0.0,0,0.0,0.0
levocabastine hydrochloride,CC1CN(C2CCC(C#N)(c3ccc(F)cc3)CC2)CCC1(C(=O)O)c1ccccc1,levocabastine hydrochloride,1,0.0,0,,levocabastine hydrochloride,0.0,0,0.0,0.0
"5-chloro-4-methyl-1,4-dihydroquinazolin-2-amine",CC1N=C(N)Nc2cccc(Cl)c21,5 chloro 4 methyl 1 4 dihydroquinazolin 2 amine,0,0.0,0,,"5-chloro-4-methyl-1,4-dihydroquinazolin-2-amine",0.0,0,0.0,0.0
2-o-methyl-paf (c),CCCCCCCCCCCCCCCCCCOCC(COP(=O)(O)OCC[N+](C)(C)C)OC,2 o methyl paf,0,0.0,0,,2-o-methyl-paf (c),0.0,0,0.0,0.0
mitratapid,CC[C@@H](C)n1ncn(-c2ccc(N3CCN(c4ccc(OC[C@@H]5CO[C@@](CSc6nncn6C)(c6ccc(Cl)cc6)O5)cc4)CC3)cc2)c1=O,mitratapid,0,0.0,0,,mitratapid,0.0,0,0.0,0.0
verapamil,COc1ccc(CCN(C)CCCC(C#N)(c2ccc(OC)c(OC)c2)C(C)C)cc1OC,verapamil,0,0.0,0,,verapamil,0.0,0,0.0,0.0
dexverapamil,COc1ccc(CCN(C)CCC[C@](C#N)(c2ccc(OC)c(OC)c2)C(C)C)cc1OC,dexverapamil,0,0.0,0,,dexverapamil,0.0,0,0.0,0.0
chembl239099,N#Cc1ccc(C(=O)N2CCN(c3ccc(OC4CCN(C5CCC5)CC4)cc3)C(=O)C2)cc1,chembl239099,0,0.0,0,,chembl239099,0.0,0,0.0,0.0
paliperidone,Cc1nc2n(c(=O)c1CCN1CCC(c3noc4cc(F)ccc34)CC1)CCCC2O,paliperidone,2,0.0,0,,paliperidone,0.0,0,0.0,0.0
granisetron,CN1C2CCCC1CC(NC(=O)c1nn(C)c3ccccc13)C2,granisetron,1,0.0,0,,granisetron,0.0,0,0.0,0.0
s120,O=C1CC=[N+](C2CC(F)C(CO)O2)C(=O)N1,s120,0,0.0,0,,s120,0.0,0,0.0,0.0
chembl476130,CNC(=O)c1c(NCC2CCC3(CCC3)CC2)nc(C#N)nc1OCC1CCNCC1,chembl476130,0,0.0,0,,chembl476130,0.0,0,0.0,0.0
